Metric	isotype	subsampled	Broad_Metric	Include_Metric
Percentage_Unique_VDJs_per_Isotype_Group__IGHM	IGHM	NA	Percentage_unique_BCRs_per_isotype_group	1
Percentage_Unmutated__Class_switched	NA	NA	Percentage_unmutated	1
Percentage_Unmutated__expanded	NA	NA	Percentage_unmutated	1
Percentage_Unmutated__IGHA1	IGHA1	NA	Percentage_unmutated	1
Percentage_Unmutated__IGHA2	IGHA2	NA	Percentage_unmutated	1
Percentage_Unmutated__IGHD	IGHD	NA	Percentage_unmutated	1
Percentage_Unmutated__IGHG1	IGHG1	NA	Percentage_unmutated	1
Percentage_Unmutated__IGHG2	IGHG2	NA	Percentage_unmutated	1
Percentage_Unmutated__IGHG3	IGHG3	NA	Percentage_unmutated	1
Percentage_Unmutated__IGHM	IGHM	NA	Percentage_unmutated	1
Percentage_Unmutated__unexpanded	NA	NA	Percentage_unmutated	1
Percentage_Unmutated__IGHG4	IGHG4	NA	Percentage_unmutated	1
Percentage_Unmutated__IGHE	IGHE	NA	Percentage_unmutated	1
V_gene_replacement_clonal_expansion__d5.norm	NA	NA	V_gene_replacement_clonal_expansion__d5.norm	1
V_gene_replacement_clonal_expansion__d5.secondary	NA	NA	V_gene_replacement_clonal_expansion__d5.secondary	1
V_gene_replacement_clonal_expansion__mean.clone.size.norm	NA	NA	V_gene_replacement_clonal_expansion__mean.clone.size.norm	1
V_gene_replacement_clonal_expansion__mean.clone.size.secondary	NA	NA	V_gene_replacement_clonal_expansion__mean.clone.size.secondary	1
V_gene_replacement_frequency__IGHA1	IGHA1	NA	V_gene_replacement_frequency	1
V_gene_replacement_frequency__IGHA2	IGHA2	NA	V_gene_replacement_frequency	1
V_gene_replacement_frequency__IGHD	IGHD	NA	V_gene_replacement_frequency	1
V_gene_replacement_frequency__IGHD_M	NA	NA	V_gene_replacement_frequency	1
V_gene_replacement_frequency__IGHG1	IGHG1	NA	V_gene_replacement_frequency	1
