"SampleID"	"Barcode"	"BCR_Lane"	"Plate"	"Library"	"Position"	"PCRBarcode"
"UKJR010000_5"	"UKJR010000"	2	"6"	18	"G9"	"G"
"HV_54_T0"	"HV_54"	10	"Unknown"	1	"F1"	"F1"
"HV_58_T0"	"HV_58"	10	"Unknown"	1	"F2"	"F2"
"HV_64_T0"	"HV_64"	10	"Unknown"	1	"F3"	"F3"
"JR_HD_T0_POSITIVE_P1"	"JR_HD"	10	"Unknown"	1	"F4"	"F4"
"UK02XX0029_T5"	"UK02XX0029"	10	"Unknown"	2	"F9"	"F9"
"UK02XX0032_T1"	"UK02XX0032"	10	"Unknown"	2	"F10"	"F10"
"UK02XX0033_T1"	"UK02XX0033"	10	"Unknown"	2	"F11"	"F11"
"UK02XX0037_T3"	"UK02XX0037"	10	"Unknown"	2	"F12"	"F12"
"UK02XX0038_T1"	"UK02XX0038"	10	"Unknown"	3	"F1"	"F1"
"UK02XX0039_T1"	"UK02XX0039"	10	"Unknown"	3	"F2"	"F2"
"UK02XX0040_T1"	"UK02XX0040"	10	"Unknown"	3	"F3"	"F3"
"UK02XX0044_T1"	"UK02XX0044"	10	"Unknown"	3	"F4"	"F4"
"RTH08_1297_T0"	"RTH08_1297"	10	"Unknown"	4	"F5"	"F5"
"RTH08_1298_T0"	"RTH08_1298"	10	"Unknown"	4	"F6"	"F6"
"RTH08_1299_T0"	"RTH08_1299"	10	"Unknown"	4	"F7"	"F7"
"RTH08_1303_T0"	"RTH08_1303"	10	"Unknown"	4	"F8"	"F8"
"RTH08_1369_T0"	"RTH08_1369"	10	"Unknown"	5	"F9"	"F9"
"UKCOV002_T1"	"UKCOV002"	10	"Unknown"	5	"F10"	"F10"
"UKCOV003_T3"	"UKCOV003"	10	"Unknown"	5	"F11"	"F11"
"UKCOV005_T3"	"UKCOV005"	10	"Unknown"	5	"F12"	"F12"
"UKCOV005_T5"	"UKCOV005"	10	"Unknown"	6	"F1"	"F1"
"UKCOV006_T5"	"UKCOV006"	10	"Unknown"	6	"F2"	"F2"
"UKCOV007_T3"	"UKCOV007"	10	"Unknown"	6	"F3"	"F3"
"UKCOV008_T3"	"UKCOV008"	10	"Unknown"	6	"F4"	"F4"
"UKCOV016_T1"	"UKCOV016"	10	"Unknown"	7	"F5"	"F5"
"UKCOV020_T3"	"UKCOV020"	10	"Unknown"	7	"F6"	"F6"
"UKCOV024_T3"	"UKCOV024"	10	"Unknown"	7	"F7"	"F7"
"UKCOV027_T3"	"UKCOV027"	10	"Unknown"	7	"F8"	"F8"
"UK02XX0023_T3"	"UK02XX0023"	10	"Unknown"	8	"F1"	"F1"
"UK02XX0027_T1"	"UK02XX0027"	10	"Unknown"	8	"F4"	"F4"
"UK02XX0028_T5"	"UK02XX0028"	10	"Unknown"	8	"F5"	"F5"
"UK02XX0047_T5"	"UK02XX0047"	10	"Unknown"	8	"F6"	"F6"
"UK02XX0050_T1"	"UK02XX0050"	10	"Unknown"	9	"F7"	"F7"
"UKCOV028_T1"	"UKCOV028"	10	"Unknown"	9	"F8"	"F8"
"UKCOV030_T3"	"UKCOV030"	10	"Unknown"	9	"F9"	"F9"
"UKCOV033_T1"	"UKCOV033"	10	"Unknown"	9	"F10"	"F10"
"UKCOV033_T3"	"UKCOV033"	10	"Unknown"	10	"F11"	"F11"
"UKCOV033_T5"	"UKCOV033"	10	"Unknown"	10	"F12"	"F12"
"UKCOV034_T5"	"UKCOV034"	10	"Unknown"	10	"F1"	"F1"
"UKCOV037_T3"	"UKCOV037"	10	"Unknown"	10	"F2"	"F2"
"UKCOV039_T1"	"UKCOV039"	10	"Unknown"	11	"F3"	"F3"
"UKCOV040_T5"	"UKCOV040"	10	"Unknown"	11	"F4"	"F4"
"UKCOV041_T1"	"UKCOV041"	10	"Unknown"	11	"F5"	"F5"
"UKCOV042_T1"	"UKCOV042"	10	"Unknown"	11	"F6"	"F6"
"UKCOV042_T3"	"UKCOV042"	10	"Unknown"	12	"F7"	"F7"
"UKCOV043_T5"	"UKCOV043"	10	"Unknown"	12	"F8"	"F8"
"UKCOV069_T5"	"UKCOV069"	10	"Unknown"	12	"F9"	"F9"
"UKCOV072_T1"	"UKCOV072"	10	"Unknown"	12	"F10"	"F10"
"UKCOV076_T1"	"UKCOV076"	10	"Unknown"	13	"F11"	"F11"
"UKCOV077_T5"	"UKCOV077"	10	"Unknown"	13	"F12"	"F12"
"UKCOV078_T3"	"UKCOV078"	10	"Unknown"	13	"F1"	"F1"
"UKCOV081_T1"	"UKCOV081"	10	"Unknown"	13	"F2"	"F2"
"UKCOV081_T5"	"UKCOV081"	10	"Unknown"	14	"F3"	"F3"
"UKCOV082_T1"	"UKCOV082"	10	"Unknown"	14	"F4"	"F4"
"UKCOV094_T5"	"UKCOV094"	10	"Unknown"	14	"F5"	"F5"
"UKCOV095_T5"	"UKCOV095"	10	"Unknown"	14	"F6"	"F6"
"UKCOV096_T5"	"UKCOV096"	10	"Unknown"	15	"F7"	"F7"
"UKCOV097_T3"	"UKCOV097"	10	"Unknown"	15	"F8"	"F8"
"JR_HD_T0_POSITIVE_P2"	"JR_HD"	10	"Unknown"	15	"F1"	"F1"
"HV_67_T0"	"HV_67"	10	"Unknown"	15	"F3"	"F3"
"HV_70_T0"	"HV_70"	10	"Unknown"	16	"F4"	"F4"
"UKCOV099_T5"	"UKCOV099"	10	"Unknown"	16	"F9"	"F9"
"UKCOV104_T3"	"UKCOV104"	10	"Unknown"	16	"F10"	"F10"
"UKCOV106_T3"	"UKCOV106"	10	"Unknown"	16	"F11"	"F11"
"UKCOV109_T1"	"UKCOV109"	10	"Unknown"	17	"F12"	"F12"
"HV_72_T0"	"HV_72"	10	"Unknown"	17	"F5"	"F5"
"UKCOV112_T3"	"UKCOV112"	10	"Unknown"	17	"F3"	"F3"
"UKCOV113_T5"	"UKCOV113"	10	"Unknown"	17	"F4"	"F4"
"UKCOV109_T3"	"UKCOV109"	10	"Unknown"	18	"F1"	"F1"
"UKCOV114_T3"	"UKCOV114"	10	"Unknown"	18	"F5"	"F5"
"UKCOV119_T3"	"UKCOV119"	10	"Unknown"	18	"F6"	"F6"
"UKCOV124_T3"	"UKCOV124"	10	"Unknown"	18	"F7"	"F7"
"UKCOV109_T5"	"UKCOV109"	10	"Unknown"	19	"F2"	"F2"
"UKCOV124_T5"	"UKCOV124"	10	"Unknown"	19	"F8"	"F8"
"UKCOV126_T3"	"UKCOV126"	10	"Unknown"	19	"F9"	"F9"
"UKCOV129_T1"	"UKCOV129"	10	"Unknown"	19	"F10"	"F10"
"UKCOV129_T5"	"UKCOV129"	10	"Unknown"	20	"F11"	"F11"
"UKCOV134_T3"	"UKCOV134"	10	"Unknown"	20	"F12"	"F12"
"UKCOV148_T3"	"UKCOV148"	10	"Unknown"	20	"F2"	"F2"
"JR_HD_T0_POSITIVE_P3"	"JR_HD"	10	"Unknown"	20	"F1"	"F1"
